,Entity Name,Plant Name,Nameplate Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Plant State,Age,emmR,emmF
0,Alabama Power Co,Bankhead Dam,53.9,Conventional Hydroelectric,WAT,HY,7.0,1963.0,AL,56.0,0.0,0.0
1,Alabama Power Co,Barry,153.1,Natural Gas Steam Turbine,NG,ST,2.0,1954.0,AL,65.0,0.059,9.0329
2,Alabama Power Co,Barry,153.1,Natural Gas Steam Turbine,NG,ST,7.0,1954.0,AL,65.0,0.059,9.0329
3,Alabama Power Co,Barry,403.7,Conventional Steam Coal,BIT,ST,12.0,1969.0,AL,50.0,0.1,40.370000000000005
4,Alabama Power Co,Barry,788.8,Conventional Steam Coal,BIT,ST,10.0,1971.0,AL,48.0,0.1,78.88
5,Alabama Power Co,Barry,170.1,Natural Gas Fired Combined Cycle,NG,CT,5.0,2000.0,AL,19.0,0.059,10.0359
6,Alabama Power Co,Barry,170.1,Natural Gas Fired Combined Cycle,NG,CT,5.0,2000.0,AL,19.0,0.059,10.0359
7,Alabama Power Co,Barry,195.2,Natural Gas Fired Combined Cycle,NG,CA,5.0,2000.0,AL,19.0,0.059,11.516799999999998
8,Alabama Power Co,Barry,170.1,Natural Gas Fired Combined Cycle,NG,CT,5.0,2000.0,AL,19.0,0.059,10.0359
9,Alabama Power Co,Barry,170.1,Natural Gas Fired Combined Cycle,NG,CT,5.0,2000.0,AL,19.0,0.059,10.0359
10,Alabama Power Co,Barry,195.2,Natural Gas Fired Combined Cycle,NG,CA,5.0,2000.0,AL,19.0,0.059,11.516799999999998
11,Alabama Power Co,Walter Bouldin Dam,75.0,Conventional Hydroelectric,WAT,HY,7.0,1967.0,AL,52.0,0.0,0.0
12,Alabama Power Co,Walter Bouldin Dam,75.0,Conventional Hydroelectric,WAT,HY,8.0,1967.0,AL,52.0,0.0,0.0
13,Alabama Power Co,Walter Bouldin Dam,75.0,Conventional Hydroelectric,WAT,HY,8.0,1967.0,AL,52.0,0.0,0.0
14,Alabama Power Co,Gadsden,69.0,Natural Gas Steam Turbine,NG,ST,4.0,1949.0,AL,70.0,0.059,4.071
15,Alabama Power Co,Gadsden,69.0,Natural Gas Steam Turbine,NG,ST,7.0,1949.0,AL,70.0,0.059,4.071
16,El Paso Electric Co,Copper,86.9,Natural Gas Fired Combustion Turbine,NG,GT,7.0,1980.0,TX,39.0,0.059,5.1271
17,Alabama Power Co,Greene County,299.2,Natural Gas Steam Turbine,NG,ST,6.0,1965.0,AL,54.0,0.059,17.6528
18,Alabama Power Co,Greene County,269.2,Natural Gas Steam Turbine,NG,ST,7.0,1966.0,AL,53.0,0.059,15.882799999999998
19,Alabama Power Co,Greene County,80.0,Natural Gas Fired Combustion Turbine,NG,GT,5.0,1996.0,AL,23.0,0.059,4.72
20,Alabama Power Co,Greene County,80.0,Natural Gas Fired Combustion Turbine,NG,GT,5.0,1996.0,AL,23.0,0.059,4.72
21,Alabama Power Co,Greene County,80.0,Natural Gas Fired Combustion Turbine,NG,GT,5.0,1995.0,AL,24.0,0.059,4.72
22,Alabama Power Co,Greene County,80.0,Natural Gas Fired Combustion Turbine,NG,GT,5.0,1995.0,AL,24.0,0.059,4.72
23,Alabama Power Co,Greene County,80.0,Natural Gas Fired Combustion Turbine,NG,GT,5.0,1995.0,AL,24.0,0.059,4.72
24,Alabama Power Co,Greene County,80.0,Natural Gas Fired Combustion Turbine,NG,GT,5.0,1995.0,AL,24.0,0.059,4.72
25,Alabama Power Co,Greene County,80.0,Natural Gas Fired Combustion Turbine,NG,GT,5.0,1995.0,AL,24.0,0.059,4.72
26,Alabama Power Co,Greene County,80.0,Natural Gas Fired Combustion Turbine,NG,GT,5.0,1996.0,AL,23.0,0.059,4.72
